"SKU","ESTOQUE","ItmsGrpCod","GrupoItens","U_G2W_Subgrupo","Descr","FirmCode","FirmName","CodeBars","DEP_PRINCIPAL","NcmCode","U_G2W_FonteProd","FONTE","GRUPO_MATERIAS","CURVA","SuppCatNum"
LC326,0.000000,136,VSR,"144",Cabo de velocimetro,18,Laquila,"7899248179356","04","8714.10.00","2","2",2,C,
PN273,0.000000,136,VSR,"004",Pneus,18,Laquila,"8019227231632","04","4011.40.00","2","5",1,C,
MR925,0.000000,136,VSR,"057",Motor,18,Laquila,"7899248138643","04","8714.10.00","2","2",2,C,
PM334,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248127197","04","8409.91.20","2","2",2,C,
PM172,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248166349","04","8409.91.20","2","2",2,C,
PN200,0.000000,136,VSR,"004",Pneus,18,Laquila,"8019227221374","04","4011.40.00","2","0",2,C,
PM214,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248169012","04","8409.91.20","2","2",2,C,
AUPB088,0.000000,143,Autparts,"282",Palheta Traseira,5,Bosch,"4047025224048",,"8512.90.00","2","2",1,B,"3397011677"
PM170,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248151680","04","8409.91.20","2","2",2,C,
PM171,0.000000,136,VSR,"204",Kit pistão,18,Laquila,"7899248166264","04","8409.91.20","2","2",2,C,
PA146,0.000000,136,VSR,"217",Painel de instrumentos,18,Laquila,"7899248143227","04","8714.10.00","2","2",2,C,
AUVN016,0.000000,143,Autparts,"082",Vela de Ignição,8,NGK,,,"8511.10.00","2","2",2,C,ZFR6FIX11
PA147,0.000000,136,VSR,"217",Painel de instrumentos,18,Laquila,"7899248143197","04","8714.10.00","2","2",2,B,
AUVB032,0.000000,143,Autparts,"082",Vela de Ignição,5,Bosch,"7891009323312",,"8511.10.00","5","5",1,C,F000KE0P03
AUGC019,1.000000,143,Autparts,"078",Cabo de Ignição,25,Gauss,"7899751920872",,"8544.30.00","2","2",2,C,GC5022
AUPB016,10.000000,143,Autparts,"282",Palheta Traseira,5,Bosch,"4047025104104",,"8512.90.00","2","2",1,A,"3397011630"
