sku,vehicletype,desc,brandid,categoryid,codigo_fornecedor,ean,gtin
"AUGE042","carro","Gauss Eletroventilador","25","263","GE1043","8414.59.90","8414.59.90"
"AUGE043","carro","Gauss Eletroventilador","25","263","GE1045","8414.59.90","8414.59.90"
"AUGE044","carro","Gauss Eletroventilador","25","263","GE1046","8414.59.90","8414.59.90"
"AUGE045","carro","Gauss Eletroventilador","25","263","GE1048","8414.59.90","8414.59.90"
"AUGE046","carro","Gauss Eletroventilador","25","263","GE1049","8414.59.90","8414.59.90"
"AUGE047","carro","Gauss Eletroventilador","25","263","GE1050","8414.59.90","8414.59.90"
"AUGE048","carro","Gauss Eletroventilador","25","263","GE1052","8414.59.90","8414.59.90"
"AUGE049","carro","Gauss Eletroventilador","25","263","GE1054","8414.59.90","8414.59.90"
"AUGE050","carro","Gauss Eletroventilador","25","263","GE1055","8414.59.90","8414.59.90"
"AUGE051","carro","Gauss Eletroventilador","25","263","GE1056","8414.59.90","8414.59.90"
"AUGE052","carro","Gauss Eletroventilador","25","263","GE1057","8414.59.90","8414.59.90"
"AUGE053","carro","Gauss Eletroventilador","25","263","GE1058","8414.59.90","8414.59.90"
"AUGE054","carro","Gauss Eletroventilador","25","263","GE1059","8414.59.90","8414.59.90"
"AUGE055","carro","Gauss Eletroventilador","25","263","GE1060","8414.59.90","8414.59.90"
"AUGE056","carro","Gauss Eletroventilador","25","263","GE1061","8414.59.90","8414.59.90"
"AUGE057","carro","Gauss Eletroventilador","25","263","GE1062","8414.59.90","8414.59.90"
"AUGE058","carro","Gauss Eletroventilador","25","263","GE1063","8414.59.90","8414.59.90"
"AUGE059","carro","Gauss Eletroventilador","25","263","GE1064","8414.59.90","8414.59.90"
"AUGE060","carro","Gauss Eletroventilador","25","263","GE1065","8414.59.90","8414.59.90"
"AUGE061","carro","Gauss Eletroventilador","25","263","GE1066","8414.59.90","8414.59.90"
"AUGE062","carro","Gauss Eletroventilador","25","263","GE1067","8414.59.90","8414.59.90"
"AUGE063","carro","Gauss Eletroventilador","25","263","GE1068","8414.59.90","8414.59.90"
"AUGE064","carro","Gauss Eletroventilador","25","263","GE1069","8414.59.90","8414.59.90"
"AUGE065","carro","Gauss Eletroventilador","25","263","GE1070","8414.59.90","8414.59.90"
"AUGE066","carro","Gauss Eletroventilador","25","263","GE1071","8414.59.90","8414.59.90"
"AUGE067","carro","Gauss Eletroventilador","25","263","GE1072","8414.59.90","8414.59.90"
"AUGE068","carro","Gauss Eletroventilador","25","263","GE1073","8414.59.90","8414.59.90"
"AUGE069","carro","Gauss Eletroventilador","25","263","GE1074","8414.59.90","8414.59.90"
"AUGE070","carro","Gauss Eletroventilador","25","263","GE1075","8414.59.90","8414.59.90"
"AUGE071","carro","Gauss Eletroventilador","25","263","GE1076","8414.59.90","8414.59.90"
"AUGE072","carro","Gauss Eletroventilador","25","263","GE1077","8414.59.90","8414.59.90"
"AUGE073","carro","Gauss Eletroventilador","25","263","GE1078","8414.59.90","8414.59.90"
"AUGE074","carro","Gauss Eletroventilador","25","263","GE1079","8414.59.90","8414.59.90"
"AUGE075","carro","Gauss Eletroventilador","25","263","GE1080","8414.59.90","8414.59.90"
"AUGE076","carro","Gauss Eletroventilador","25","263","GE1081","8414.59.90","8414.59.90"
"AUGE077","carro","Gauss Eletroventilador","25","263","GE1083","8414.59.90","8414.59.90"
"AUGE078","carro","Gauss Eletroventilador","25","263","GE1084","8414.59.90","8414.59.90"
"AUGE079","carro","Gauss Eletroventilador","25","263","GE1085","8414.59.90","8414.59.90"
"AUGE080","carro","Gauss Eletroventilador","25","263","GE1101","8414.59.90","8414.59.90"
"AUGE081","carro","Gauss Eletroventilador","25","263","GE1104","8414.59.90","8414.59.90"
"AUGE082","carro","Gauss Eletroventilador","25","263","GE1110","8414.59.90","8414.59.90"
"AUGE083","carro","Gauss Eletroventilador","25","263","GE1126","8414.59.90","8414.59.90"
"AUGE084","carro","Gauss Eletroventilador","25","263","GE1127","8414.59.90","8414.59.90"
"AUGE085","carro","Gauss Eletroventilador","25","263","GE1130","8414.59.90","8414.59.90"
"AUGE086","carro","Gauss Eletroventilador","25","263","GE1041","8414.59.90","8414.59.90"
"AUGE087","carro","Gauss Eletroventilador","25","263","GE1047","8414.59.90","8414.59.90"
"AUGE088","carro","Gauss Eletroventilador","25","263","GE1128","8414.59.90","8414.59.90"
"AUGE089","carro","Gauss Eletroventilador","25","263","GE1051","8414.59.90","8414.59.90"
"AUGE090","carro","Gauss Eletroventilador","25","263","GE1044","8414.59.90","8414.59.90"
"AUGE091","carro","Gauss Eletroventilador","25","263","GE1109","8414.59.90","8414.59.90"
"AUGI001","carro","Gauss Bobina de Ignição","25","113","GC4012","8511.30.20","8511.30.20"
"AUGI002","carro","Gauss Bobina de Ignição","25","113","GC4029","8511.30.20","8511.30.20"
"AUGI003","carro","Gauss Bobina de Ignição","25","113","GC4030","8511.30.20","8511.30.20"
"AUGI004","carro","Gauss Bobina de Ignição","25","113","GC4047","8511.30.20","8511.30.20"
"AUGI005","carro","Gauss Bobina de Ignição","25","113","GC4101","8511.30.20","8511.30.20"
"AUGI006","carro","Gauss Bobina de Ignição","25","113","GC4102","8511.30.20","8511.30.20"
"AUGI007","carro","Gauss Bobina de Ignição","25","113","GC4103","8511.30.20","8511.30.20"
"AUGI008","carro","Gauss Bobina de Ignição","25","113","GC4108","8511.30.20","8511.30.20"
"AUGI009","carro","Gauss Bobina de Ignição","25","113","GC4109","8511.30.20","8511.30.20"
"AUGI010","carro","Gauss Bobina de Ignição","25","113","GC4210","8511.30.20","8511.30.20"
"AUGI011","carro","Gauss Bobina de Ignição","25","113","GC4221","8511.30.20","8511.30.20"
"AUGI012","carro","Gauss Bobina de Ignição","25","113","GC4263","8511.30.20","8511.30.20"
"AUGI013","carro","Gauss Bobina de Ignição","25","113","GC4273","8511.30.20","8511.30.20"
"AUGI014","carro","Gauss Bobina de Ignição","25","113","GC4278","8511.30.20","8511.30.20"
"AUGI015","carro","Gauss Bobina de Ignição","25","113","GC4286","8511.30.20","8511.30.20"
"AUGI016","carro","Gauss Bobina de Ignição","25","113","GC4320","8511.30.20","8511.30.20"
"AUGI017","carro","Gauss Bobina de Ignição","25","113","GC4366","8511.30.20","8511.30.20"
"AUGI018","carro","Gauss Bobina de Ignição","25","113","GC4422","8511.30.20","8511.30.20"
"AUGI019","carro","Gauss Bobina de Ignição","25","113","GC4483","8511.30.20","8511.30.20"
"AUGI020","carro","Gauss Bobina de Ignição","25","113","GC4509","8511.30.20","8511.30.20"
"AUGI021","carro","Gauss Bobina de Ignição","25","113","GC4655","8511.30.20","8511.30.20"
"AUGI022","carro","Gauss Bobina de Ignição","25","113","GC4801","8511.30.20","8511.30.20"
"AUGI023","carro","Gauss Bobina de Ignição","25","113","GC4920","8511.30.20","8511.30.20"
"AUGI024","carro","Gauss Sensor Fluxo Ar","25","273","GH5027","9026.80.00","9026.80.00"
"AUGI025","carro","Gauss Bobina de Ignição","25","113","GC4130","8511.30.20","8511.30.20"
"AUGI026","carro","Gauss Bobina de Ignição","25","113","GC4206","8511.30.20","8511.30.20"
"AUGI027","carro","Gauss Bobina de Ignição","25","113","GC4700","8511.30.20","8511.30.20"
"AUGI028","carro","Gauss Bobina de Ignição","25","113","GC4000","8511.30.20","8511.30.20"
"AUGI029","carro","Gauss Bobina de Ignição","25","113","GC4001","8511.30.20","8511.30.20"
"AUGI030","carro","Gauss Bobina de Ignição","25","113","GC4002","8511.30.20","8511.30.20"
"AUGI031","carro","Gauss Bobina de Ignição","25","113","GC4004","8511.30.20","8511.30.20"
"AUGI032","carro","Gauss Bobina de Ignição","25","113","GC4005","8511.30.20","8511.30.20"
"AUGI033","carro","Gauss Bobina de Ignição","25","113","GC4006","8511.30.20","8511.30.20"
"AUGI034","carro","Gauss Bobina de Ignição","25","113","GC4007","8511.30.20","8511.30.20"
"AUGI035","carro","Gauss Bobina de Ignição","25","113","GC4008","8511.30.20","8511.30.20"
"AUGI036","carro","Gauss Bobina de Ignição","25","113","GC4010","8511.30.20","8511.30.20"
"AUGI037","carro","Gauss Bobina de Ignição","25","113","GC4011","8511.30.20","8511.30.20"
"AUGI038","carro","Gauss Bobina de Ignição","25","113","GC4014","8511.30.20","8511.30.20"
"AUGI039","carro","Gauss Bobina de Ignição","25","113","GC4015","8511.30.20","8511.30.20"
"AUGI040","carro","Gauss Bobina de Ignição","25","113","GC4016","8511.30.20","8511.30.20"
"AUGI041","carro","Gauss Bobina de Ignição","25","113","GC4017","8511.30.20","8511.30.20"
"AUGI042","carro","Gauss Bobina de Ignição","25","113","GC4018","8511.30.20","8511.30.20"
"AUGI043","carro","Gauss Bobina de Ignição","25","113","GC4019","8511.30.20","8511.30.20"
"AUGI044","carro","Gauss Bobina de Ignição","25","113","GC4020","8511.30.20","8511.30.20"
"AUGI045","carro","Gauss Bobina de Ignição","25","113","GC4021","8511.30.20","8511.30.20"
"AUGI046","carro","Gauss Bobina de Ignição","25","113","GC4022","8511.30.20","8511.30.20"
"AUGI047","carro","Gauss Bobina de Ignição","25","113","GC4023","8511.30.20","8511.30.20"
"AUGI048","carro","Gauss Bobina de Ignição","25","113","GC4024","8511.30.20","8511.30.20"
"AUGI049","carro","Gauss Bobina de Ignição","25","113","GC4025","8511.30.20","8511.30.20"
"AUGI050","carro","Gauss Bobina de Ignição","25","113","GC4026","8511.30.20","8511.30.20"
