sku,active
AUAC112,nao
AUAC113,nao
AUAC114,nao
AUAC115,nao
AUAC116,nao
AUAC117,nao
AUAC118,nao
AUAC119,nao
AUAC120,nao
AUAC121,nao
AUAC122,nao
AUAC123,nao
AUAC124,nao
AUAC125,nao
AUAC126,nao
AUAC127,nao
AUAC128,nao
AUAC129,nao
AUAC130,nao
AUAC131,nao
AUAC132,nao
AUAC133,nao
AUAC134,nao
AUAC135,nao
AUAC136,nao
AUAC137,nao
AUAC138,nao
AUAC139,nao
AUAC140,nao
AUAC141,nao
AUAC142,nao
AUAC143,nao
AUAC144,nao
AUAC145,nao
AUAC146,nao
AUAC147,nao
AUAC148,nao
AUAC149,nao
AUAC150,nao
AUAC151,nao
AUAC152,nao
AUAC153,nao
AUAC154,nao
AUAC155,nao
AUAC156,nao
AUAC157,nao
AUAC158,nao
AUAC159,nao
AUAC160,nao
AUAC161,nao
AUAC162,nao
AUAC163,nao
AUAC164,nao
AUAC165,nao
AUAC166,nao
AUAC167,nao
AUAC168,nao
AUAC169,nao
AUAC170,nao
AUAC171,nao
AUAC172,nao
AUAC173,nao
AUAC174,nao
AUAC175,nao
AUAC176,nao
AUAC177,nao
AUAC178,nao
AUAC179,nao
AUAC180,nao
AUAC181,nao
AUAC182,sim
AUAC183,nao
AUAC184,nao
AUAC185,nao
AUAC186,nao
AUAC187,nao
AUAC188,nao
AUAC189,nao
AUAC190,nao
AUAC191,nao
AUAC192,nao
AUAC193,nao
AUAC194,nao
AUAC195,nao
AUAC196,nao
AUAC197,nao
AUAC198,nao
AUAC199,nao
AUAC200,nao
AUAC201,nao
AUAC202,nao
AUAC203,nao
AUAC204,nao
AUAC205,nao
AUAC206,nao
AUAC207,nao
AUAC208,nao
AUAC209,nao
AUAC210,nao
AUAC211,nao
AUAC212,nao
AUAC213,nao
AUAC214,nao
AUAC215,nao
AUAC216,nao
AUAC217,nao
AUAC218,nao
AUAC219,nao
AUAC220,nao
AUAC221,nao
AUAC222,nao
AUAC223,nao
AUAC224,nao
AUAC225,nao
AUAC226,nao
AUAC227,nao
AUAC228,nao
AUAC229,nao
AUAC230,nao
AUAC231,nao
AUAC232,nao
AUAC233,nao
AUAC234,nao
AUAC235,nao
AUAC236,nao
AUAC237,nao
AUAC238,nao
AUAC239,nao
AUAC240,nao
AUAC241,nao
AUAC242,nao
AUAC243,nao
AUAC244,nao
AUAC245,nao
AUAC246,nao
AUAC247,nao
AUAC248,nao
AUAC249,nao
AUAC250,nao
AUAC251,nao
AUAC252,nao
AUAC253,nao
AUAC254,nao
AUAC255,nao
AUAC256,nao
AUAC257,nao
AUAC258,nao
AUAC259,nao
AUAC260,nao
AUAC261,nao
AUAC262,nao
AUAC263,nao
AUAC264,nao
AUAC265,nao
AUAC266,nao
AUAC267,nao
AUAC268,nao
AUAC269,nao
AUAC270,nao
AUAC271,nao
AUAC272,nao
AUAC273,nao
AUAC274,nao
AUAC275,nao
AUAC276,nao
AUAC277,nao
AUAC278,nao
AUAC279,nao
AUAC280,nao
AUAC281,nao
AUAC282,nao
AUAC283,nao
AUAC284,nao
AUAC285,nao
AUAC286,nao
AUAC287,nao
AUAC288,nao
AUAC289,nao
AUAL001,nao
AUAL002,nao
AUAL003,nao
AUAL004,nao
AUAL005,nao
AUAL006,nao
AUAL007,nao
AUAL008,nao
AUAL009,nao
AUAL010,nao
AUAL011,nao
AUBA001,sim
AUBA002,sim
AUBA003,sim
AUBA004,sim
AUBA005,sim
AUBA006,sim
AUBA007,sim
AUBA008,sim
AUBA009,sim
AUBA010,sim
AUBA011,sim
AUBA012,sim
AUBA013,sim
AUBA014,sim
AUBA015,sim
AUBA016,sim
AUBA017,sim
AUBA018,sim
AUBA019,sim
AUBA020,sim
AUBB001,sim
AUBB002,sim
AUBB003,sim
AUBB004,sim
AUBB005,sim
AUBB006,sim
AUBB007,sim
AUBB008,sim
AUBB009,sim
AUBB010,sim
AUBB011,sim
AUBB012,nao
AUBB013,sim
AUBB014,sim
AUBB015,sim
AUBB016,sim
AUBB017,sim
AUBB018,sim
AUBB019,sim
AUBB020,sim
AUBB021,nao
AUBB022,sim
AUBB023,sim
AUBB024,sim
AUBB025,sim
AUBB026,sim
AUBB027,sim
AUBB028,nao
AUBB029,sim
AUBB030,sim
AUBB031,sim
AUBB032,sim
AUBB033,sim
AUBB034,nao
AUBB035,sim
AUBB036,sim
AUBB037,sim
AUBB038,sim
AUBB039,sim
AUBB040,sim
AUBB041,nao
AUBB042,sim
AUBB043,sim
AUBB044,sim
AUBB045,sim
AUBB046,sim
AUBB047,sim
AUBD001,nao
AUBF001,sim
AUBF002,sim
AUBF003,sim
AUBG001,sim
AUBG002,sim
AUBG003,sim
AUBG004,sim
AUBG005,sim
AUBG006,sim
AUBG007,sim
AUBG008,sim
AUBG009,sim
AUBG010,sim
AUBG011,sim
AUBG012,sim
AUBG013,sim
AUBG014,sim
AUBG015,sim
AUBG016,sim
AUBG017,sim
AUBG018,sim
AUBG019,sim
AUBG020,sim
AUBG021,sim
AUBG022,sim
AUBG023,sim
AUBG024,sim
AUBG025,sim
AUBG026,sim
AUBG027,sim
AUBG028,sim
AUBG029,sim
AUBG030,sim
AUBG031,sim
AUBG032,sim
AUBG033,sim
AUBG034,sim
AUBG035,sim
AUBG036,sim
AUBG037,sim
AUBG038,sim
AUBG039,sim
AUBG040,sim
AUBI001,nao
AUBI002,sim
AUBI003,sim
AUBI004,sim
AUBI005,nao
AUBI006,sim
AUBI007,sim
AUBI008,sim
AUBI009,sim
AUBI010,sim
AUBI011,sim
AUBI012,nao
AUBI013,sim
AUBI014,sim
AUBI015,sim
AUBI016,sim
AUBI017,nao
AUBI018,sim
AUBI019,sim
AUBI020,sim
AUBI021,sim
AUBI022,sim
AUBI023,sim
AUBI024,sim
AUBI025,sim
AUBI026,sim
AUBI027,sim
AUBI028,sim
AUBI029,nao
AUBI030,sim
AUBI031,sim
AUBI032,sim
AUBI033,sim
AUBI034,sim
AUBI035,sim
AUBI036,sim
AUBI037,sim
AUBI038,sim
AUBI039,sim
AUBI040,sim
AUBI041,sim
AUBI042,sim
AUBI043,sim
AUBI044,sim
AUBI045,sim
AUBI046,sim
AUBI047,sim
AUBI048,sim
AUBI049,sim
AUBI050,sim
AUBI051,sim
AUBI052,sim
AUBI053,sim
AUBI054,sim
AUBI055,sim
AUBI056,sim
AUBI057,sim
AUBI058,sim
AUBI060,sim
AUBI061,sim
AUBI062,sim
AUBI063,sim
AUBI064,sim
AUBI065,sim
AUBI066,sim
AUBI067,sim
AUBI068,sim
AUBI069,sim
AUBI070,sim
AUBI071,sim
AUBI072,sim
AUBI073,nao
AUBO001,sim
AUBO002,sim
AUBO003,sim
AUBO004,sim
AUBO005,sim
AUBO006,sim
AUBO007,sim
AUBO008,sim
AUBO009,sim
AUBO010,sim
AUBO011,sim
AUBO012,sim
AUBO013,sim
AUBO014,sim
AUBO015,sim
AUBO016,sim
AUBO017,sim
AUBO018,nao
AUBO019,nao
AUBO020,sim
AUBO021,sim
AUBO022,nao
AUBO023,sim
AUBO024,sim
AUBO025,sim
AUBO026,sim
AUBO027,sim
AUBO028,sim
AUBO029,sim
AUBO030,sim
AUBO031,sim
AUBO032,sim
AUBO033,sim
AUBO034,sim
AUBO035,sim
AUBO036,nao
AUBO037,nao
AUBO038,sim
AUBO039,sim
AUBO040,sim
AUBO041,sim
AUBO042,sim
AUBO043,sim
AUBO044,sim
AUBO045,sim
AUBO046,sim
AUBO047,sim
AUBO048,sim
AUBO049,sim
AUBO050,sim
AUBO051,sim
AUBO052,sim
AUBO053,sim
AUBO054,sim
AUBO055,sim
AUBO056,sim
AUBO057,sim
AUBO058,sim
AUBO059,sim
AUBO060,sim
AUBO061,sim
AUBO062,sim
AUBO063,sim
AUBO064,sim
AUBO065,sim
AUBO066,sim
AUBO067,sim
AUBO068,sim
AUBO069,nao
AUBO070,sim
AUBO071,sim
AUBO072,sim
AUBO073,sim
AUCB001,nao
AUCB002,sim
AUCB003,sim
AUCB004,sim
AUCB005,sim
AUCB006,sim
AUCB007,sim
AUCB008,sim
AUCB009,sim
AUCB010,nao
AUCB011,sim
AUCB012,sim
AUCB013,sim
AUCB014,sim
AUCB015,sim
AUCB016,sim
AUCB017,sim
AUCB018,sim
AUCB019,sim
AUCB020,sim
AUCB021,sim
AUCB022,sim
AUCB023,sim
AUCB024,sim
AUCB025,sim
AUCB026,sim
AUCB027,sim
AUCB028,sim
AUCB029,sim
AUCB030,sim
AUCB031,sim
AUCB032,nao
AUCB033,sim
AUCB034,sim
AUCB035,sim
AUCB036,sim
AUCB037,sim
AUCB038,sim
AUCB039,sim
AUCB040,sim
AUCB041,sim
AUCB042,sim
AUCB043,nao
AUCB044,sim
AUCB045,sim
AUCB046,nao
AUCB047,nao
AUCB048,sim
AUCB049,sim
AUCB050,sim
AUCB051,sim
AUCB052,sim
AUCB053,sim
AUCB054,sim
AUCB055,sim
AUCB056,sim
AUCB057,nao
AUCB058,nao
AUCB059,sim
AUCB060,sim
AUCB061,sim
AUCB062,nao
AUCB063,nao
AUCB064,sim
AUCB065,nao
AUCB066,sim
AUCB067,nao
AUCB068,sim
AUCB069,sim
AUCB070,sim
AUCB071,nao
AUCB072,sim
AUCB073,sim
AUCB074,sim
AUCB075,sim
AUCB076,sim
AUCB077,sim
AUCB078,nao
AUCB079,sim
AUCB080,sim
AUCB081,sim
AUCB082,sim
AUCB083,sim
AUCB084,sim
AUCB085,sim
AUCB086,nao
AUCB087,sim
AUCB088,nao
AUCB089,sim
AUCB090,sim
AUCB091,sim
AUCB092,sim
AUCB093,sim
AUCB094,sim
AUCB095,sim
AUCB096,sim
AUCB097,nao
AUCB098,nao
AUCB099,sim
AUCB100,nao
AUCB101,sim
AUCB102,sim
AUCB103,sim
AUCB104,sim
AUCB105,sim
AUCB106,sim
AUCB107,sim
AUCB108,sim
AUCB109,sim
AUCB110,sim
AUCB111,nao
AUCB112,nao
AUCB113,nao
AUCB114,nao
AUCM001,nao
AUCM002,nao
AUCM003,nao
AUCM004,nao
AUCM005,nao
AUCM006,nao
AUCM007,nao
AUCM008,nao
AUCM009,nao
AUCM010,nao
AUCM011,nao
AUCM012,nao
AUCM013,nao
AUCM014,nao
AUCM015,nao
AUCM016,nao
AUCM017,nao
AUCM018,nao
AUCM019,nao
AUCM020,nao
AUCM021,nao
AUCM022,nao
AUCM023,nao
AUCM024,nao
AUCM025,nao
AUCM026,nao
AUCM027,nao
AUCM028,nao
AUCM029,nao
AUCM030,nao
AUCM031,nao
AUCM032,nao
AUCM033,nao
AUCM034,nao
AUCM035,nao
AUCM036,nao
AUCM037,nao
AUCM038,nao
AUCM039,nao
AUCM040,nao
AUCM041,nao
AUCM042,nao
AUCM043,nao
AUCM044,nao
AUCM045,nao
AUCM046,nao
AUCM047,nao
AUCM048,nao
AUCM049,nao
AUCM050,nao
AUCM051,nao
AUCM052,nao
AUCM053,nao
AUCM054,nao
AUCM055,nao
AUCM056,nao
AUCM057,nao
AUCN001,sim
AUCN002,sim
AUCN003,sim
AUCN004,sim
AUCN005,sim
AUCN006,sim
AUCN007,sim
AUCN008,sim
AUCN009,sim
AUCN010,sim
AUCN011,sim
AUCN012,sim
AUCN013,sim
AUCN014,sim
AUCN015,sim
AUCN016,sim
AUCN017,sim
AUCN018,sim
AUCN019,sim
AUCN020,sim
AUCN021,sim
AUCN022,sim
AUCN023,sim
AUCN024,sim
AUCN025,sim
AUCN026,sim
AUCN027,sim
AUCN028,sim
AUCN029,sim
AUCN030,sim
AUCN031,sim
AUCN032,sim
AUCN033,sim
AUCN034,sim
AUCN035,sim
AUCN036,sim
AUCN037,sim
AUCN038,sim
AUCN039,sim
AUCN040,sim
AUCN041,sim
AUCN042,sim
AUCN043,sim
AUCN044,sim
AUCN045,sim
AUCN046,sim
AUCN047,sim
AUCN048,sim
AUCN049,sim
AUCN050,sim
AUCN051,sim
AUCN052,sim
AUCN053,sim
AUCN054,sim
AUCN055,sim
AUCN056,sim
AUCN057,sim
AUCN058,sim
AUCN059,sim
AUCN060,sim
AUCN061,sim
AUCN062,sim
AUCN063,sim
AUCN064,sim
AUCN065,sim
AUCN066,sim
AUCN067,sim
AUCN068,sim
AUCN069,sim
AUCN070,sim
AUCN071,sim
AUCN072,sim
AUCN073,sim
AUCN074,sim
AUCN075,sim
AUCN076,sim
AUCN077,sim
AUCN078,sim
AUCN079,sim
AUCN080,sim
AUCN081,sim
AUCN082,sim
AUCN083,sim
AUCN084,sim
AUCN085,sim
AUCN086,sim
AUCN087,sim
AUCN088,sim
AUCN089,sim
AUCN090,sim
AUCN091,sim
AUCN092,sim
AUCN093,sim
AUCN094,sim
AUCN095,sim
AUCN096,sim
AUCN097,sim
AUCN098,sim
AUCN099,sim
AUCN100,sim
AUCN101,sim
AUCN102,sim
AUCN103,sim
AUCN104,sim
AUCN105,sim
AUCN106,sim
AUCN107,sim
AUCN108,sim
AUCN109,sim
AUCN110,sim
AUCN111,sim
AUCN112,sim
AUCN113,sim
AUCN114,sim
AUCN115,sim
AUCN116,sim
AUCN117,sim
AUCN118,sim
AUCN119,sim
AUCN120,sim
AUCS001,nao
AUCS002,nao
AUCS003,nao
AUCS004,nao
AUCS005,nao
AUCS006,nao
AUCS007,nao
AUCS008,nao
AUCS009,nao
AUCS010,nao
AUDF001,nao
AUDF002,nao
AUDF003,nao
AUDF004,nao
AUDF005,nao
AUDF006,nao
AUDF007,nao
AUDF008,nao
AUDF009,nao
AUDF010,nao
AUDF011,nao
AUDF012,nao
AUDF013,nao
AUDF014,nao
AUDF015,nao
AUDF016,nao
AUDF017,nao
AUDF018,nao
AUDF019,nao
AUDF020,nao
AUDF021,nao
AUDF022,nao
AUDF023,nao
AUDF024,nao
AUDF025,nao
AUDF026,nao
AUDF027,nao
AUDF028,nao
AUDF029,nao
AUDF030,nao
AUDF031,nao
AUDF032,nao
AUDF033,nao
AUDF034,nao
AUDF035,nao
AUDF036,nao
AUDF037,nao
AUDF038,nao
AUDF039,nao
AUDF040,nao
AUDF041,nao
AUDF042,nao
AUDF043,nao
AUDF044,nao
AUDF045,nao
AUDF046,nao
AUDF047,nao
AUDF048,nao
AUDF049,nao
AUDF050,nao
AUDF051,nao
AUDF052,nao
AUDF053,nao
AUDF054,nao
AUDF055,nao
AUDF056,nao
AUDF057,nao
AUDF058,nao
AUDF059,nao
AUDF060,nao
AUDF061,nao
AUDF062,nao
AUDF063,nao
AUDF064,nao
AUDF065,nao
AUDF066,nao
AUDF067,nao
AUDF068,nao
AUDF069,nao
AUDF070,nao
AUDF071,nao
AUDF072,nao
AUDF073,nao
AUDF074,nao
AUDF075,nao
AUDF076,nao
AUDF077,nao
AUDF078,nao
AUDF079,nao
AUDF080,nao
AUDF081,nao
AUDF082,nao
AUDF083,nao
AUDF084,nao
AUDF085,nao
AUDF086,nao
AUDF087,nao
AUDF088,nao
AUDF089,nao
AUDF090,nao
AUDF091,nao
AUDF092,nao
AUDF093,nao
AUDF094,nao
AUDF095,nao
AUDF096,nao
AUDF097,nao
AUDF098,nao
AUDF099,sim
AUDV001,nao
AUDV002,sim
AUDV003,sim
AUDV004,sim
AUDV005,nao
AUDV006,nao
AUDV007,nao
AUDV008,nao
AUDV009,nao
AUDV010,nao
AUDV011,nao
AUDV012,nao
AUDV013,nao
AUDV014,nao
AUDV015,nao
AUDV016,nao
AUDV017,nao
AUDV018,nao
AUDV019,nao
AUDV020,nao
AUDV021,nao
AUDV022,nao
AUFA001,sim
AUFA002,sim
AUFA003,sim
AUFA004,sim
AUFA005,sim
AUFA006,sim
AUFA007,sim
AUFA008,sim
AUFA009,sim
AUFA010,sim
AUFA011,sim
AUFA012,sim
AUFA013,sim
AUFA014,sim
AUFA015,sim
AUFA016,sim
AUFA017,sim
AUFA018,sim
AUFA019,sim
AUFA020,sim
AUFA021,sim
AUFA022,sim
AUFA023,sim
AUFA024,sim
AUFA025,sim
AUFA026,sim
AUFA027,sim
AUFA028,sim
AUFA029,sim
AUFA030,sim
AUFA031,sim
AUFA032,sim
AUFA033,sim
AUFA034,sim
AUFA035,sim
AUFA036,sim
AUFA037,sim
AUFA038,sim
AUFA039,sim
AUFA040,sim
AUFA041,sim
AUFA042,sim
AUFA043,sim
AUFA044,sim
AUFA045,nao
AUFA046,sim
AUFA047,nao
AUFA048,sim
AUFA049,sim
AUFA050,sim
AUFA051,sim
AUFA052,sim
AUFA053,sim
AUFA054,sim
AUFA055,sim
AUFA056,sim
AUFA057,sim
AUFA058,sim
AUFA059,sim
AUFA060,sim
AUFA061,sim
AUFA062,sim
AUFA063,sim
AUFA064,sim
AUFA065,sim
AUFA066,sim
AUFA067,sim
AUFA068,sim
AUFA069,sim
AUFA070,sim
AUFA071,sim
AUFA072,sim
AUFA073,sim
AUFA074,sim
AUFA075,sim
AUFA076,sim
AUFA077,sim
AUFA078,nao
AUFA079,nao
AUFA080,sim
AUFA081,sim
AUFA082,sim
AUFA083,sim
AUFA084,nao
AUFA085,nao
AUFA086,sim
AUFA087,sim
AUFA088,sim
AUFA089,nao
AUFA090,nao
AUFA091,sim
AUFA092,sim
AUFA093,sim
AUFA094,sim
AUFA095,sim
AUFA096,sim
AUFA097,sim
AUFA098,sim
AUFA099,nao
AUFA100,nao
AUFA101,sim
AUFA102,sim
AUFA103,sim
AUFA104,sim
AUFA105,sim
AUFA106,sim
AUFA107,sim
AUFA108,sim
AUFA109,sim
AUFA110,sim
AUFA111,sim
AUFA112,sim
AUFA113,sim
AUFA114,sim
AUFA115,sim
AUFA116,sim
AUFA117,sim
AUFA118,sim
AUFA119,sim
AUFA120,sim
AUFA121,sim
AUFA122,sim
AUFA123,nao
AUFA124,nao
AUFA125,sim
AUFA126,sim
AUFA127,nao
AUFA128,sim
AUFA129,nao
AUFA130,sim
AUFA131,sim
AUFA132,sim
AUFA133,sim
AUFA134,sim
AUFA135,sim
AUFA136,sim
AUFA137,sim
AUFA138,sim
AUFA139,sim
AUFA140,sim
AUFA141,sim
AUFA142,sim
AUFA143,sim
AUFA144,sim
AUFA145,sim
AUFA146,sim
AUFA147,sim
AUFA148,sim
AUFA149,sim
AUFA150,sim
AUFA151,sim
AUFA152,nao
AUFA153,sim
AUFA154,sim
AUFA155,sim
AUFB001,sim
AUFB002,sim
AUFB003,sim
AUFB004,sim
AUFB005,sim
AUFB006,sim
AUFB007,sim
AUFB008,sim
AUFB009,sim
AUFB010,sim
AUFB011,sim
AUFB012,sim
AUFB013,nao
AUFB014,sim
AUFB015,sim
AUFB016,sim
AUFB017,nao
AUFB018,sim
AUFB019,sim
AUFB020,nao
AUFB021,sim
AUFB022,sim
AUFB023,sim
AUFB024,sim
AUFB025,sim
AUFB026,nao
AUFB027,nao
AUFB028,sim
AUFB029,nao
AUFB030,sim
AUFB031,sim
AUFB032,sim
AUFB033,sim
AUFB034,sim
AUFB035,sim
AUFB036,sim
AUFB037,sim
AUFB038,sim
AUFB039,nao
AUFB040,nao
AUFB041,nao
AUFB042,sim
AUFB043,sim
AUFB044,sim
AUFB045,sim
AUFB046,sim
AUFB047,sim
AUFB048,sim
AUFB049,sim
AUFB050,sim
AUFB051,sim
AUFB052,nao
AUFB053,sim
AUFB054,sim
AUFB055,sim
AUFB056,sim
AUFB057,sim
AUFB058,sim
AUFB059,sim
AUFB060,sim
AUFB061,sim
AUFB062,sim
AUFB063,sim
AUFB064,sim
AUFB065,sim
AUFB066,sim
AUFB067,nao
AUFB068,sim
AUFB069,sim
AUFB070,sim
AUFP001,nao
AUFP002,nao
AUFP003,nao
AUFP004,nao
AUFP005,nao
AUFP006,nao
AUFP007,nao
AUFP008,nao
AUFP009,nao
AUFP010,nao
AUFP011,nao
AUGA001,sim
AUGA002,sim
AUGA003,sim
AUGA004,sim
AUGA005,sim
AUGA006,sim
AUGA007,sim
AUGA008,sim
AUGA009,sim
AUGA010,sim
AUGA011,sim
AUGA012,sim
AUGA013,sim
AUGA014,sim
AUGA015,sim
AUGA016,sim
AUGA017,sim
AUGA018,sim
AUGA019,sim
AUGA020,sim
AUGA021,sim
AUGA022,sim
AUGA023,sim
AUGA024,sim
AUGA025,sim
AUGA026,sim
AUGA027,sim
AUGA028,sim
AUGA029,sim
AUGA030,sim
AUGA031,sim
AUGA032,sim
AUGA033,sim
AUGA034,sim
AUGA035,sim
AUGA036,sim
AUGA037,sim
AUGA038,sim
AUGA039,sim
AUGB001,sim
AUGB002,sim
AUGB003,sim
AUGB004,sim
AUGB005,sim
AUGB006,sim
AUGB007,sim
AUGB008,sim
AUGB009,sim
AUGB010,sim
AUGB011,sim
AUGB012,sim
AUGB013,sim
AUGB014,sim
AUGB015,sim
AUGB016,sim
AUGB017,sim
AUGB018,sim
AUGB019,sim
AUGB020,sim
AUGB021,sim
AUGB022,sim
AUGB023,sim
AUGB024,sim
AUGB025,sim
AUGB026,sim
AUGB027,sim
AUGB028,sim
AUGB029,sim
AUGB030,sim
AUGB031,sim
AUGB032,sim
AUGB033,sim
AUGB034,sim
AUGB035,sim
AUGB036,sim
AUGB037,sim
AUGB038,sim
AUGB039,sim
AUGB040,sim
AUGB041,sim
AUGB042,sim
AUGB043,sim
AUGB044,sim
AUGB045,sim
AUGB046,sim
AUGB047,sim
AUGB048,sim
AUGB049,sim
AUGB050,sim
AUGB051,sim
AUGB052,sim
AUGB053,sim
AUGB054,sim
AUGB055,sim
AUGB056,sim
AUGB057,sim
AUGB058,sim
AUGB059,sim
AUGB060,sim
AUGB061,sim
AUGB062,sim
AUGB063,sim
AUGB064,sim
AUGB065,sim
AUGB066,sim
AUGB067,sim
AUGB068,sim
AUGB069,sim
AUGB070,sim
AUGB071,sim
AUGB072,sim
AUGB073,sim
AUGB074,sim
AUGB075,sim
AUGB076,sim
AUGB077,sim
AUGB078,sim
AUGB079,sim
AUGB080,sim
AUGB081,sim
AUGB082,sim
AUGB083,sim
AUGB084,sim
AUGB085,sim
AUGB086,sim
AUGB087,sim
AUGB088,sim
AUGB089,sim
AUGB090,sim
AUGB091,sim
AUGB092,sim
AUGB093,sim
AUGB094,sim
AUGB095,sim
AUGB096,sim
AUGB097,sim
AUGB098,sim
AUGB099,sim
AUGB100,sim
AUGB101,sim
AUGB102,sim
AUGB103,sim
AUGB104,sim
AUGB105,sim
AUGB106,sim
AUGB107,sim
AUGC001,sim
AUGC002,sim
AUGC003,sim
AUGC004,sim
AUGC005,sim
AUGC006,sim
AUGC007,sim
AUGC008,sim
AUGC009,sim
AUGC010,sim
AUGC011,sim
AUGC012,sim
AUGC013,sim
AUGC014,sim
AUGC015,sim
AUGC016,sim
AUGC017,sim
AUGC018,sim
AUGC019,sim
AUGC020,sim
AUGC021,sim
AUGC022,sim
AUGC023,sim
AUGC024,sim
AUGC025,sim
AUGC026,sim
AUGC027,sim
AUGC028,sim
AUGC029,sim
AUGC030,sim
AUGC031,sim
AUGC032,sim
AUGC033,sim
AUGC034,sim
AUGC035,sim
AUGC036,sim
AUGC037,sim
AUGC038,sim
AUGC039,sim
AUGC040,sim
AUGC041,sim
AUGC042,sim
AUGC043,sim
AUGC044,sim
AUGC045,sim
AUGC046,sim
AUGC047,sim
AUGC048,sim
AUGC049,sim
AUGC050,sim
AUGC051,sim
AUGC052,sim
AUGC053,sim
AUGC054,sim
AUGC055,sim
AUGC056,sim
AUGC057,sim
AUGC058,sim
AUGC059,sim
AUGC060,sim
AUGC061,sim
AUGC062,sim
AUGC063,sim
AUGC064,sim
AUGC065,sim
AUGC066,sim
AUGC067,sim
AUGC068,sim
AUGC069,sim
AUGC070,sim
AUGC071,sim
AUGC072,sim
AUGC073,sim
AUGC074,sim
AUGC075,sim
AUGC076,sim
AUGC077,sim
AUGC078,sim
AUGC079,sim
AUGC080,sim
AUGC081,sim
AUGC082,sim
AUGC083,sim
AUGC084,sim
AUGC085,sim
AUGC086,sim
AUGC087,sim
AUGC088,sim
AUGC089,sim
AUGC090,sim
AUGC091,sim
AUGC092,sim
AUGC093,sim
AUGC094,sim
AUGC095,sim
AUGC096,sim
AUGC097,sim
AUGC098,sim
AUGC099,sim
AUGC100,sim
AUGE001,sim
AUGE002,sim
AUGE003,sim
AUGE004,sim
AUGE005,sim
AUGE006,sim
AUGE007,sim
AUGE008,sim
AUGE009,sim
AUGE010,sim
AUGE011,sim
AUGE012,sim
AUGE013,sim
AUGE014,sim
AUGE015,sim
AUGE016,sim
AUGE017,sim
AUGE018,sim
AUGE019,sim
AUGE020,sim
AUGE021,sim
AUGE022,sim
AUGE023,sim
AUGE024,sim
AUGE025,sim
AUGE026,sim
AUGE027,sim
AUGE028,sim
AUGE029,sim
AUGE030,sim
AUGE031,sim
AUGE032,sim
AUGE033,sim
AUGE034,sim
AUGE035,sim
AUGE036,sim
AUGE037,sim
AUGE038,sim
AUGE039,sim
AUGE040,sim
AUGE041,sim
AUGE042,sim
AUGE043,sim
AUGE044,sim
AUGE045,sim
AUGE046,sim
AUGE047,sim
AUGE048,sim
AUGE049,sim
AUGE050,sim
AUGE051,sim
AUGE052,sim
AUGE053,sim
AUGE054,sim
AUGE055,sim
AUGE056,sim
AUGE057,sim
